商品编码,商品名称,部门编号,品类,零售价,进货价
1,商品-1,2,肉禽,181.78,127.07
2,商品-2,3,水产,755.96,581.92
3,商品-3,4,米面,988.35,793.02
4,商品-4,5,食用油,2832.67,1879.78
5,商品-5,6,乳品,1241.52,846.44
6,商品-6,1,熟食,38.82,29.05
7,商品-7,2,饼干,607.68,403.14
8,商品-8,3,饮料,1444.22,1160.96
9,商品-9,4,清洁,2662.93,2123.30
10,商品-10,5,纸品,2769.18,1851.13
11,商品-11,6,小家电,139.87,107.08
12,商品-12,1,蔬果,170.45,130.41
13,商品-13,2,肉禽,743.39,604.21
14,商品-14,3,水产,1481.63,920.45
15,商品-15,4,米面,1981.68,1562.68
16,商品-16,5,食用油,2966.13,2114.89
17,商品-17,6,乳品,1843.50,1248.10
18,商品-18,1,熟食,605.31,402.31
19,商品-19,2,饼干,582.45,480.89
20,商品-20,3,饮料,1425.87,1065.03
21,商品-21,4,清洁,1096.15,811.63
22,商品-22,5,纸品,1794.75,1390.61
23,商品-23,6,小家电,2971.86,2295.43
24,商品-24,1,蔬果,655.72,415.56
25,商品-25,2,肉禽,421.15,357.72
26,商品-26,3,水产,325.96,242.07
27,商品-27,4,米面,2428.45,1484.11
28,商品-28,5,食用油,2641.73,2133.09
29,商品-29,6,乳品,2023.19,1560.28
30,商品-30,1,熟食,277.95,199.46
31,商品-31,2,饼干,181.23,145.58
32,商品-32,3,饮料,1565.90,952.48
33,商品-33,4,清洁,2569.38,1921.98
34,商品-34,5,纸品,2781.26,1699.85
35,商品-35,6,小家电,1752.41,1334.06
36,商品-36,1,蔬果,576.45,356.33
37,商品-37,2,肉禽,1052.09,851.51
38,商品-38,3,水产,352.38,213.20
39,商品-39,4,米面,1076.61,910.60
40,商品-40,5,食用油,2511.87,2037.34
41,商品-41,6,乳品,3790.39,3067.58
42,商品-42,1,熟食,44.72,29.02
43,商品-43,2,饼干,826.84,567.83
44,商品-44,3,饮料,45.22,28.87
45,商品-45,4,清洁,1683.23,1234.49
46,商品-46,5,纸品,254.48,200.26
47,商品-47,6,小家电,2750.32,1749.63
48,商品-48,1,蔬果,155.93,114.94
49,商品-49,2,肉禽,413.82,284.06
50,商品-50,3,水产,1210.90,822.67
51,商品-51,4,米面,187.80,114.88
52,商品-52,5,食用油,3089.55,2460.13
53,商品-53,6,乳品,1368.97,1031.83
54,商品-54,1,熟食,625.07,513.86
55,商品-55,2,饼干,718.87,542.39
56,商品-56,3,饮料,1274.30,1025.88
57,商品-57,4,清洁,694.73,456.24
58,商品-58,5,纸品,1647.91,1029.24
59,商品-59,6,小家电,396.79,284.65
60,商品-60,1,蔬果,605.38,474.94
61,商品-61,2,肉禽,1126.74,774.87
62,商品-62,3,水产,966.43,808.14
63,商品-63,4,米面,2482.71,1610.23
64,商品-64,5,食用油,244.37,163.76
65,商品-65,6,乳品,88.77,65.11
66,商品-66,1,熟食,26.23,15.74
67,商品-67,2,饼干,597.84,443.17
68,商品-68,3,饮料,325.29,274.06
69,商品-69,4,清洁,751.93,599.69
70,商品-70,5,纸品,1546.60,1026.20
71,商品-71,6,小家电,3889.31,3094.73
72,商品-72,1,蔬果,574.79,358.40
73,商品-73,2,肉禽,51.09,30.75
74,商品-74,3,水产,41.99,28.71
75,商品-75,4,米面,88.46,71.07
76,商品-76,5,食用油,1494.14,902.09
77,商品-77,6,乳品,2826.81,2382.14
78,商品-78,1,熟食,380.53,300.53
79,商品-79,2,饼干,601.78,424.26
80,商品-80,3,饮料,1785.61,1253.13
81,商品-81,4,清洁,1554.39,1050.21
82,商品-82,5,纸品,32.70,21.38
83,商品-83,6,小家电,3725.69,2644.28
84,商品-84,1,蔬果,480.52,330.05
85,商品-85,2,肉禽,340.70,215.73
86,商品-86,3,水产,1398.69,846.71
87,商品-87,4,米面,1935.72,1420.81
88,商品-88,5,食用油,2067.90,1643.28
89,商品-89,6,乳品,1423.74,1186.07
90,商品-90,1,熟食,87.37,58.58
91,商品-91,2,饼干,1209.51,985.09
92,商品-92,3,饮料,1889.09,1399.25
93,商品-93,4,清洁,1320.26,794.63
94,商品-94,5,纸品,2799.87,2364.15
95,商品-95,6,小家电,1169.55,754.36
96,商品-96,1,蔬果,374.71,259.19
97,商品-97,2,肉禽,1118.23,786.66
98,商品-98,3,水产,403.68,336.77
99,商品-99,4,米面,2470.16,1506.85
100,商品-100,5,食用油,2729.56,1665.31
101,商品-101,6,乳品,732.84,486.49
102,商品-102,1,熟食,26.28,21.69
103,商品-103,2,饼干,25.53,20.55
104,商品-104,3,饮料,1708.47,1315.12
105,商品-105,4,清洁,337.82,233.77
106,商品-106,5,纸品,343.56,223.86
107,商品-107,6,小家电,1177.96,997.21
108,商品-108,1,蔬果,218.37,173.68
109,商品-109,2,肉禽,996.61,790.55
110,商品-110,3,水产,1868.01,1530.11
111,商品-111,4,米面,1849.66,1125.92
112,商品-112,5,食用油,1391.71,859.21
113,商品-113,6,乳品,3628.05,2490.98
114,商品-114,1,熟食,47.04,38.84
115,商品-115,2,饼干,1041.26,732.49
116,商品-116,3,饮料,1635.90,1247.29
117,商品-117,4,清洁,1397.12,953.74
118,商品-118,5,纸品,1978.61,1479.93
119,商品-119,6,小家电,2367.45,1427.38
120,商品-120,1,蔬果,40.26,31.76
121,商品-121,2,肉禽,494.52,321.03
122,商品-122,3,水产,1420.70,1107.92
123,商品-123,4,米面,2629.23,1609.37
124,商品-124,5,食用油,875.39,711.17
125,商品-125,6,乳品,660.96,500.77
126,商品-126,1,熟食,85.00,67.83
127,商品-127,2,饼干,329.02,206.24
128,商品-128,3,饮料,8.54,5.81
129,商品-129,4,清洁,266.96,211.13
130,商品-130,5,纸品,2178.25,1679.84
131,商品-131,6,小家电,3270.18,2300.22
132,商品-132,1,蔬果,182.85,154.50
133,商品-133,2,肉禽,880.12,710.52
134,商品-134,3,水产,226.26,143.21
135,商品-135,4,米面,2228.37,1555.40
136,商品-136,5,食用油,3092.51,1918.91
137,商品-137,6,乳品,1314.71,1034.11
138,商品-138,1,熟食,248.49,210.31
139,商品-139,2,饼干,1018.82,637.70
140,商品-140,3,饮料,771.50,530.74
141,商品-141,4,清洁,1189.73,931.38
