商品编码,库存量,在库天数
1,127,46
2,73,37
3,117,4
4,98,12
5,112,12
6,117,21
7,94,99
8,120,75
9,115,73
10,12,20
11,117,64
12,136,54
13,142,73
14,180,57
15,37,115
16,7,118
17,193,27
18,140,44
19,51,34
20,107,43
21,79,91
22,176,114
23,131,107
24,158,16
25,146,46
26,10,84
27,75,40
28,177,93
29,97,92
30,114,88
31,88,83
32,166,26
33,84,61
34,160,112
35,28,87
36,135,55
37,101,12
38,181,28
39,197,22
40,33,83
41,79,43
42,194,6
43,95,70
44,90,100
45,53,115
46,0,2
47,81,45
48,144,32
49,40,12
50,80,20
51,82,105
52,103,14
53,121,68
54,61,109
55,86,28
56,23,117
57,46,19
58,128,101
59,58,6
60,188,92
61,130,65
62,119,19
63,171,95
64,92,34
65,147,85
66,95,6
67,96,83
68,198,55
69,37,33
70,32,8
71,11,7
72,127,108
73,80,77
74,56,39
75,140,12
76,179,2
77,173,26
78,113,30
79,129,2
80,188,56
81,148,27
82,129,13
83,119,77
84,38,65
85,124,15
86,11,88
87,150,48
88,92,56
89,16,53
90,130,17
91,29,30
92,183,51
93,126,10
94,189,66
95,50,74
96,84,107
97,111,31
98,137,81
99,113,41
100,1,111
101,136,92
102,117,13
103,175,19
104,148,29
105,111,8
106,48,51
107,17,33
108,187,1
109,94,115
110,42,49
111,130,7
112,82,40
113,63,103
114,92,111
115,83,75
116,181,79
117,188,112
118,183,2
119,18,81
120,40,46
121,195,91
122,29,104
123,124,86
124,198,51
125,190,71
126,100,15
127,106,58
128,155,60
129,145,71
130,60,85
131,146,27
132,29,97
133,177,113
134,35,61
135,33,43
136,135,87
137,165,61
138,63,11
139,93,25
140,19,34
141,137,89
142,172,68
143,168,56
144,67,44
145,152,11
146,174,6
147,138,114
148,161,73
149,108,57
150,111,77
151,85,28
152,84,63
153,142,19
154,191,29
155,182,71
156,164,80
157,51,44
158,53,30
159,179,71
160,197,69
161,104,63
162,55,30
163,48,97
164,69,35
165,92,100
166,3,29
167,63,75
168,58,108
169,109,67
170,165,24
171,119,63
172,135,79
173,62,49
